Algorithm,MemorySize,MeanAbsError,MeanRelError,Runtime,Precision@10,Recall@10,F1@10
MisraGries,20,15.587243607754987,0.9997708898395866,0.05078291893005371,0.1,0.1,0.10000000000000002
CountMinSketch,20,4824.817645406013,1389.0682978997847,0.7236227989196777,0.0,0.0,0.0
CountSketch,20,502.00014048890137,144.72465283449324,0.28168606758117676,0.0,0.0,0.0
CountMedian,20,260.9315819050295,75.70378562557181,1.4977471828460693,0.0,0.0,0.0
MisraGries,50,15.559145827479629,0.9991113820302633,0.048887014389038086,0.4,0.4,0.4000000000000001
CountMinSketch,50,1770.536948581062,510.0083304349334,0.7115190029144287,0.2,0.2,0.20000000000000004
CountSketch,50,253.82186007305424,72.18473818720962,0.2838590145111084,0.0,0.0,0.0
CountMedian,50,177.06673222815397,52.03060053471344,1.50118088722229,0.2,0.2,0.20000000000000004
MisraGries,100,15.418656926102837,0.998172031056961,0.04820394515991211,0.7,0.7,0.7
CountMinSketch,100,806.0691205394774,231.74717460492377,0.7311711311340332,0.3,0.3,0.3
CountSketch,100,208.50758640067434,59.62495632493457,0.2788810729980469,0.1,0.1,0.10000000000000002
CountMedian,100,114.09525147513347,33.51626909441458,1.3909642696380615,0.3,0.3,0.3
MisraGries,500,12.99522337735319,0.9790862782203426,0.03957509994506836,1.0,1.0,1.0
CountMinSketch,500,103.70511379601011,29.42343717881347,0.7080380916595459,1.0,1.0,1.0
CountSketch,500,94.14006743467266,26.69357669739735,0.2836573123931885,0.1,0.1,0.10000000000000002
CountMedian,500,39.92582186007306,11.361952024385326,1.4410381317138672,0.8,0.8,0.8000000000000002
MisraGries,1000,9.483000842933409,0.8952182100358373,0.034622907638549805,1.0,1.0,1.0
CountMinSketch,1000,36.64638943523462,10.253084652230566,0.7153573036193848,0.9,0.9,0.9
CountSketch,1000,59.05338578252318,17.040932577665007,0.28025317192077637,0.1,0.1,0.10000000000000002
CountMedian,1000,22.898988479910088,6.536004167577619,1.4761250019073486,0.9,0.9,0.9
